school_year,antigen,age,public_health_unit,coverage,year_of_birth
2018-2019,Pneumo,7,Peterborough Public Health,77.7,2011
2018-2019,Pneumo,7,Porcupine Health Unit,89.1,2011
2018-2019,Pneumo,7,Public Health Sudbury & Districts,79.2,2011
2018-2019,Pneumo,7,Region of Waterloo Public Health and Emergency Services,77.2,2011
2018-2019,Pneumo,7,Region of Waterloo Public Health and Paramedic Services,77.2,2011
2018-2019,Pneumo,7,Renfrew County and District Health Unit,87.0,2011
2018-2019,Pneumo,7,Simcoe Muskoka District Health Unit,80.0,2011
2018-2019,Pneumo,7,Southeast Public Health,85.4,2011
2018-2019,Pneumo,7,Southwestern Public Health,80.0,2011
2018-2019,Pneumo,7,Thunder Bay District Health Unit,78.3,2011
2018-2019,Pneumo,7,Timiskaming Health Unit,94.6,2011
2018-2019,Pneumo,7,Toronto Public Health,70.2,2011
2018-2019,Pneumo,7,Wellington-Dufferin-Guelph Public Health,83.5,2011
2018-2019,Pneumo,7,Windsor-Essex County Health Unit,76.8,2011
2018-2019,Pneumo,7,York Region Public Health,73.6,2011
2018-2019,Polio,7,Algoma Public Health,75.0,2011
2018-2019,Polio,17,Algoma Public Health,97.6,2001
2018-2019,Polio,7,Brant County Health Unit,95.1,2011
2018-2019,Polio,17,Brant County Health Unit,95.5,2001
2018-2019,Polio,7,Chatham-Kent Public Health,94.9,2011
2018-2019,Polio,17,Chatham-Kent Public Health,96.8,2001
2018-2019,Polio,7,City of Hamilton Public Health Services,90.7,2011
2018-2019,Polio,17,City of Hamilton Public Health Services,86.4,2001
2018-2019,Polio,7,Durham Region Health Department,94.8,2011
2018-2019,Polio,17,Durham Region Health Department,96.6,2001
2018-2019,Polio,7,Eastern Ontario Health Unit,94.5,2011
2018-2019,Polio,17,Eastern Ontario Health Unit,93.7,2001
2018-2019,Polio,7,Grand Erie Public Health,92.7,2011
2018-2019,Polio,17,Grand Erie Public Health,91.6,2001
2018-2019,Polio,7,Grey Bruce Health Unit,94.1,2011
2018-2019,Polio,17,Grey Bruce Health Unit,92.3,2001
2018-2019,Polio,7,Grey Bruce Public Health,94.1,2011
2018-2019,Polio,17,Grey Bruce Public Health,92.3,2001
2018-2019,Polio,7,Haldimand-Norfolk Health Unit,89.3,2011
2018-2019,Polio,17,Haldimand-Norfolk Health Unit,86.8,2001
2018-2019,Polio,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",94.3,2011
2018-2019,Polio,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",96.7,2001
2018-2019,Polio,7,Halton Region Public Health,47.6,2011
2018-2019,Polio,17,Halton Region Public Health,94.9,2001
2018-2019,Polio,7,Hastings Prince Edward Public Health,95.5,2011
2018-2019,Polio,17,Hastings Prince Edward Public Health,97.0,2001
2018-2019,Polio,7,Huron Perth Public Health,92.7,2011
2018-2019,Polio,17,Huron Perth Public Health,90.7,2001
2018-2019,Polio,7,"Kingston, Frontenac and Lennox & Addington Public Health",97.6,2011
2018-2019,Polio,17,"Kingston, Frontenac and Lennox & Addington Public Health",96.9,2001
2018-2019,Polio,7,Lakelands Public Health,93.7,2011
2018-2019,Polio,17,Lakelands Public Health,96.3,2001
2018-2019,Polio,7,Lambton Public Health,94.7,2011
2018-2019,Polio,17,Lambton Public Health,97.2,2001
2018-2019,Polio,7,"Leeds, Grenville & Lanark District Health Unit",94.6,2011
2018-2019,Polio,17,"Leeds, Grenville & Lanark District Health Unit",87.2,2001
2018-2019,Polio,7,Middlesex-London Health Unit,88.8,2011
2018-2019,Polio,17,Middlesex-London Health Unit,92.4,2001
2018-2019,Polio,7,Niagara Region Public Health,88.8,2011
2018-2019,Polio,17,Niagara Region Public Health,95.9,2001
2018-2019,Polio,7,North Bay Parry Sound District Health Unit,95.3,2011
2018-2019,Polio,17,North Bay Parry Sound District Health Unit,96.8,2001
2018-2019,Polio,7,Northeastern Public Health,93.4,2011
2018-2019,Polio,17,Northeastern Public Health,98.0,2001
2018-2019,Polio,7,Northwestern Health Unit,87.1,2011
2018-2019,Polio,17,Northwestern Health Unit,89.1,2001
2018-2019,Polio,7,Ontario,86.2,2011
2018-2019,Polio,17,Ontario,93.5,2001
2018-2019,Polio,7,Ottawa Public Health,85.9,2011
2018-2019,Polio,17,Ottawa Public Health,95.0,2001
2018-2019,Polio,7,Peel Public Health,87.7,2011
2018-2019,Polio,17,Peel Public Health,95.2,2001
2018-2019,Polio,7,Peterborough Public Health,93.0,2011
2018-2019,Polio,17,Peterborough Public Health,95.8,2001
2018-2019,Polio,7,Porcupine Health Unit,95.6,2011
2018-2019,Polio,17,Porcupine Health Unit,98.2,2001
2018-2019,Polio,7,Public Health Sudbury & Districts,94.8,2011
2018-2019,Polio,17,Public Health Sudbury & Districts,97.1,2001
2018-2019,Polio,7,Region of Waterloo Public Health and Emergency Services,93.6,2011
2018-2019,Polio,17,Region of Waterloo Public Health and Emergency Services,94.5,2001
2018-2019,Polio,7,Region of Waterloo Public Health and Paramedic Services,93.6,2011
2018-2019,Polio,17,Region of Waterloo Public Health and Paramedic Services,94.5,2001
2018-2019,Polio,7,Renfrew County and District Health Unit,97.3,2011
2018-2019,Polio,17,Renfrew County and District Health Unit,97.9,2001
2018-2019,Polio,7,Simcoe Muskoka District Health Unit,93.4,2011
2018-2019,Polio,17,Simcoe Muskoka District Health Unit,93.7,2001
2018-2019,Polio,7,Southeast Public Health,96.0,2011
2018-2019,Polio,17,Southeast Public Health,93.8,2001
2018-2019,Polio,7,Southwestern Public Health,90.0,2011
2018-2019,Polio,17,Southwestern Public Health,93.0,2001
2018-2019,Polio,7,Thunder Bay District Health Unit,85.7,2011
2018-2019,Polio,17,Thunder Bay District Health Unit,97.4,2001
2018-2019,Polio,7,Timiskaming Health Unit,88.0,2011
2018-2019,Polio,17,Timiskaming Health Unit,97.6,2001
2018-2019,Polio,7,Toronto Public Health,83.5,2011
2018-2019,Polio,17,Toronto Public Health,91.4,2001
2018-2019,Polio,7,Wellington-Dufferin-Guelph Public Health,94.8,2011
2018-2019,Polio,17,Wellington-Dufferin-Guelph Public Health,95.3,2001
2018-2019,Polio,7,Windsor-Essex County Health Unit,68.3,2011
2018-2019,Polio,17,Windsor-Essex County Health Unit,93.9,2001
2018-2019,Polio,7,York Region Public Health,85.3,2011
2018-2019,Polio,17,York Region Public Health,91.6,2001
2018-2019,Rubella,7,Algoma Public Health,97.6,2011
2018-2019,Rubella,17,Algoma Public Health,99.1,2001
2018-2019,Rubella,7,Brant County Health Unit,97.3,2011
2018-2019,Rubella,17,Brant County Health Unit,97.6,2001
2018-2019,Rubella,7,Chatham-Kent Public Health,97.4,2011
2018-2019,Rubella,17,Chatham-Kent Public Health,98.2,2001
2018-2019,Rubella,7,City of Hamilton Public Health Services,96.3,2011
2018-2019,Rubella,17,City of Hamilton Public Health Services,90.8,2001
2018-2019,Rubella,7,Durham Region Health Department,97.6,2011
2018-2019,Rubella,17,Durham Region Health Department,98.7,2001
2018-2019,Rubella,7,Eastern Ontario Health Unit,96.9,2011
2018-2019,Rubella,17,Eastern Ontario Health Unit,97.9,2001
2018-2019,Rubella,7,Grand Erie Public Health,96.5,2011
2018-2019,Rubella,17,Grand Erie Public Health,96.0,2001
2018-2019,Rubella,7,Grey Bruce Health Unit,96.0,2011
2018-2019,Rubella,17,Grey Bruce Health Unit,93.5,2001
2018-2019,Rubella,7,Grey Bruce Public Health,96.0,2011
2018-2019,Rubella,17,Grey Bruce Public Health,93.5,2001
2018-2019,Rubella,7,Haldimand-Norfolk Health Unit,95.3,2011
2018-2019,Rubella,17,Haldimand-Norfolk Health Unit,93.9,2001
2018-2019,Rubella,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",97.1,2011
2018-2019,Rubella,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",98.0,2001
2018-2019,Rubella,7,Halton Region Public Health,91.6,2011
2018-2019,Rubella,17,Halton Region Public Health,97.8,2001
2018-2019,Rubella,7,Hastings Prince Edward Public Health,98.1,2011
2018-2019,Rubella,17,Hastings Prince Edward Public Health,98.8,2001
2018-2019,Rubella,7,Huron Perth Public Health,95.2,2011
2018-2019,Rubella,17,Huron Perth Public Health,92.8,2001
2018-2019,Rubella,7,"Kingston, Frontenac and Lennox & Addington Public Health",99.0,2011
2018-2019,Rubella,17,"Kingston, Frontenac and Lennox & Addington Public Health",98.9,2001
2018-2019,Rubella,7,Lakelands Public Health,97.2,2011
2018-2019,Rubella,17,Lakelands Public Health,97.8,2001
2018-2019,Rubella,7,Lambton Public Health,97.2,2011
2018-2019,Rubella,17,Lambton Public Health,98.9,2001
2018-2019,Rubella,7,"Leeds, Grenville & Lanark District Health Unit",98.1,2011
2018-2019,Rubella,17,"Leeds, Grenville & Lanark District Health Unit",90.6,2001
2018-2019,Rubella,7,Middlesex-London Health Unit,94.5,2011
2018-2019,Rubella,17,Middlesex-London Health Unit,96.3,2001
2018-2019,Rubella,7,Niagara Region Public Health,97.3,2011
2018-2019,Rubella,17,Niagara Region Public Health,98.1,2001
2018-2019,Rubella,7,North Bay Parry Sound District Health Unit,97.8,2011
2018-2019,Rubella,17,North Bay Parry Sound District Health Unit,98.4,2001
2018-2019,Rubella,7,Northeastern Public Health,97.6,2011
2018-2019,Rubella,17,Northeastern Public Health,99.2,2001
2018-2019,Rubella,7,Northwestern Health Unit,93.8,2011
2018-2019,Rubella,17,Northwestern Health Unit,95.5,2001
2018-2019,Rubella,7,Ontario,96.1,2011
2018-2019,Rubella,17,Ontario,97.1,2001
2018-2019,Rubella,7,Ottawa Public Health,98.7,2011
2018-2019,Rubella,17,Ottawa Public Health,98.5,2001
2018-2019,Rubella,7,Peel Public Health,98.5,2011
2018-2019,Rubella,17,Peel Public Health,98.9,2001
2018-2019,Rubella,7,Peterborough Public Health,97.4,2011
2018-2019,Rubella,17,Peterborough Public Health,97.6,2001
2018-2019,Rubella,7,Porcupine Health Unit,97.2,2011
2018-2019,Rubella,17,Porcupine Health Unit,99.3,2001
2018-2019,Rubella,7,Public Health Sudbury & Districts,98.1,2011
2018-2019,Rubella,17,Public Health Sudbury & Districts,98.8,2001
2018-2019,Rubella,7,Region of Waterloo Public Health and Emergency Services,97.1,2011
2018-2019,Rubella,17,Region of Waterloo Public Health and Emergency Services,97.3,2001
2018-2019,Rubella,7,Region of Waterloo Public Health and Paramedic Services,97.1,2011
2018-2019,Rubella,17,Region of Waterloo Public Health and Paramedic Services,97.3,2001
2018-2019,Rubella,7,Renfrew County and District Health Unit,98.9,2011
2018-2019,Rubella,17,Renfrew County and District Health Unit,98.9,2001
2018-2019,Rubella,7,Simcoe Muskoka District Health Unit,96.6,2011
2018-2019,Rubella,17,Simcoe Muskoka District Health Unit,98.0,2001
2018-2019,Rubella,7,Southeast Public Health,98.4,2011
2018-2019,Rubella,17,Southeast Public Health,96.2,2001
2018-2019,Rubella,7,Southwestern Public Health,92.6,2011
2018-2019,Rubella,17,Southwestern Public Health,95.9,2001
2018-2019,Rubella,7,Thunder Bay District Health Unit,97.4,2011
2018-2019,Rubella,17,Thunder Bay District Health Unit,98.4,2001
2018-2019,Rubella,7,Timiskaming Health Unit,98.5,2011
2018-2019,Rubella,17,Timiskaming Health Unit,99.1,2001
2018-2019,Rubella,7,Toronto Public Health,94.8,2011
2018-2019,Rubella,17,Toronto Public Health,97.0,2001
2018-2019,Rubella,7,Wellington-Dufferin-Guelph Public Health,97.4,2011
2018-2019,Rubella,17,Wellington-Dufferin-Guelph Public Health,98.3,2001
2018-2019,Rubella,7,Windsor-Essex County Health Unit,95.7,2011
2018-2019,Rubella,17,Windsor-Essex County Health Unit,98.2,2001
2018-2019,Rubella,7,York Region Public Health,92.4,2011
2018-2019,Rubella,17,York Region Public Health,95.2,2001
2018-2019,Tetanus,7,Algoma Public Health,75.0,2011
2018-2019,Tetanus,17,Algoma Public Health,81.3,2001
2018-2019,Tetanus,7,Brant County Health Unit,94.7,2011
2018-2019,Tetanus,17,Brant County Health Unit,83.6,2001
2018-2019,Tetanus,7,Chatham-Kent Public Health,94.5,2011
2018-2019,Tetanus,17,Chatham-Kent Public Health,86.4,2001
2018-2019,Tetanus,7,City of Hamilton Public Health Services,89.9,2011
2018-2019,Tetanus,17,City of Hamilton Public Health Services,72.7,2001
2018-2019,Tetanus,7,Durham Region Health Department,94.5,2011
2018-2019,Tetanus,17,Durham Region Health Department,87.1,2001
2018-2019,Tetanus,7,Eastern Ontario Health Unit,94.2,2011
2018-2019,Tetanus,17,Eastern Ontario Health Unit,86.9,2001
2018-2019,Tetanus,7,Grand Erie Public Health,91.9,2011
2018-2019,Tetanus,17,Grand Erie Public Health,80.9,2001
2018-2019,Tetanus,7,Grey Bruce Health Unit,93.8,2011
2018-2019,Tetanus,17,Grey Bruce Health Unit,84.1,2001
2018-2019,Tetanus,7,Grey Bruce Public Health,93.8,2011
2018-2019,Tetanus,17,Grey Bruce Public Health,84.1,2001
2018-2019,Tetanus,7,Haldimand-Norfolk Health Unit,88.2,2011
2018-2019,Tetanus,17,Haldimand-Norfolk Health Unit,77.4,2001
2018-2019,Tetanus,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",94.0,2011
2018-2019,Tetanus,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",78.7,2001
2018-2019,Tetanus,7,Halton Region Public Health,47.8,2011
2018-2019,Tetanus,17,Halton Region Public Health,82.9,2001
2018-2019,Tetanus,7,Hastings Prince Edward Public Health,95.4,2011
2018-2019,Tetanus,17,Hastings Prince Edward Public Health,90.1,2001
2018-2019,Tetanus,7,Huron Perth Public Health,92.5,2011
2018-2019,Tetanus,17,Huron Perth Public Health,85.2,2001
2018-2019,Tetanus,7,"Kingston, Frontenac and Lennox & Addington Public Health",97.5,2011
2018-2019,Tetanus,17,"Kingston, Frontenac and Lennox & Addington Public Health",90.8,2001
2018-2019,Tetanus,7,Lakelands Public Health,93.4,2011
2018-2019,Tetanus,17,Lakelands Public Health,80.7,2001
2018-2019,Tetanus,7,Lambton Public Health,94.5,2011
2018-2019,Tetanus,17,Lambton Public Health,85.0,2001
2018-2019,Tetanus,7,"Leeds, Grenville & Lanark District Health Unit",94.3,2011
2018-2019,Tetanus,17,"Leeds, Grenville & Lanark District Health Unit",77.8,2001
2018-2019,Tetanus,7,Middlesex-London Health Unit,87.7,2011
2018-2019,Tetanus,17,Middlesex-London Health Unit,80.7,2001
2018-2019,Tetanus,7,Niagara Region Public Health,88.0,2011
2018-2019,Tetanus,17,Niagara Region Public Health,83.5,2001
2018-2019,Tetanus,7,North Bay Parry Sound District Health Unit,95.3,2011
2018-2019,Tetanus,17,North Bay Parry Sound District Health Unit,81.4,2001
2018-2019,Tetanus,7,Northeastern Public Health,93.1,2011
2018-2019,Tetanus,17,Northeastern Public Health,89.0,2001
2018-2019,Tetanus,7,Northwestern Health Unit,86.8,2011
2018-2019,Tetanus,17,Northwestern Health Unit,76.0,2001
2018-2019,Tetanus,7,Ontario,85.8,2011
2018-2019,Tetanus,17,Ontario,82.3,2001
2018-2019,Tetanus,7,Ottawa Public Health,85.5,2011
2018-2019,Tetanus,17,Ottawa Public Health,81.1,2001
2018-2019,Tetanus,7,Peel Public Health,87.4,2011
2018-2019,Tetanus,17,Peel Public Health,85.6,2001
2018-2019,Tetanus,7,Peterborough Public Health,92.7,2011
2018-2019,Tetanus,17,Peterborough Public Health,83.4,2001
2018-2019,Tetanus,7,Porcupine Health Unit,95.1,2011
2018-2019,Tetanus,17,Porcupine Health Unit,88.9,2001
2018-2019,Tetanus,7,Public Health Sudbury & Districts,94.4,2011
2018-2019,Tetanus,17,Public Health Sudbury & Districts,86.1,2001
2018-2019,Tetanus,7,Region of Waterloo Public Health and Emergency Services,93.2,2011
2018-2019,Tetanus,17,Region of Waterloo Public Health and Emergency Services,85.3,2001
2018-2019,Tetanus,7,Region of Waterloo Public Health and Paramedic Services,93.2,2011
2018-2019,Tetanus,17,Region of Waterloo Public Health and Paramedic Services,85.3,2001
2018-2019,Tetanus,7,Renfrew County and District Health Unit,97.3,2011
2018-2019,Tetanus,17,Renfrew County and District Health Unit,94.3,2001
2018-2019,Tetanus,7,Simcoe Muskoka District Health Unit,92.9,2011
2018-2019,Tetanus,17,Simcoe Muskoka District Health Unit,80.2,2001
2018-2019,Tetanus,7,Southeast Public Health,95.8,2011
2018-2019,Tetanus,17,Southeast Public Health,86.4,2001
2018-2019,Tetanus,7,Southwestern Public Health,89.7,2011
2018-2019,Tetanus,17,Southwestern Public Health,82.0,2001
2018-2019,Tetanus,7,Thunder Bay District Health Unit,85.2,2011
2018-2019,Tetanus,17,Thunder Bay District Health Unit,91.4,2001
2018-2019,Tetanus,7,Timiskaming Health Unit,88.0,2011
2018-2019,Tetanus,17,Timiskaming Health Unit,89.4,2001
2018-2019,Tetanus,7,Toronto Public Health,82.8,2011
2018-2019,Tetanus,17,Toronto Public Health,79.2,2001
2018-2019,Tetanus,7,Wellington-Dufferin-Guelph Public Health,94.3,2011
2018-2019,Tetanus,17,Wellington-Dufferin-Guelph Public Health,86.3,2001
2018-2019,Tetanus,7,Windsor-Essex County Health Unit,67.4,2011
2018-2019,Tetanus,17,Windsor-Essex County Health Unit,84.8,2001
2018-2019,Tetanus,7,York Region Public Health,85.0,2011
2018-2019,Tetanus,17,York Region Public Health,79.1,2001
2018-2019,Varicella,7,Algoma Public Health,72.2,2011
2018-2019,Varicella,7,Brant County Health Unit,92.8,2011
2018-2019,Varicella,7,Chatham-Kent Public Health,94.1,2011
2018-2019,Varicella,7,City of Hamilton Public Health Services,88.9,2011
2018-2019,Varicella,7,Durham Region Health Department,94.1,2011
2018-2019,Varicella,7,Eastern Ontario Health Unit,93.8,2011
2018-2019,Varicella,7,Grand Erie Public Health,90.2,2011
2018-2019,Varicella,7,Grey Bruce Health Unit,93.0,2011
2018-2019,Varicella,7,Grey Bruce Public Health,93.0,2011
2018-2019,Varicella,7,Haldimand-Norfolk Health Unit,86.7,2011
2018-2019,Varicella,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",90.4,2011
2018-2019,Varicella,7,Halton Region Public Health,41.8,2011
2018-2019,Varicella,7,Hastings Prince Edward Public Health,93.1,2011
2018-2019,Varicella,7,Huron Perth Public Health,89.7,2011
2018-2019,Varicella,7,"Kingston, Frontenac and Lennox & Addington Public Health",96.3,2011
2018-2019,Varicella,7,Lakelands Public Health,91.2,2011
2018-2019,Varicella,7,Lambton Public Health,93.7,2011
2018-2019,Varicella,7,"Leeds, Grenville & Lanark District Health Unit",93.3,2011
2018-2019,Varicella,7,Middlesex-London Health Unit,87.1,2011
2018-2019,Varicella,7,Niagara Region Public Health,84.8,2011
2018-2019,Varicella,7,North Bay Parry Sound District Health Unit,94.5,2011
2018-2019,Varicella,7,Northeastern Public Health,92.4,2011
2018-2019,Varicella,7,Northwestern Health Unit,85.6,2011
2018-2019,Varicella,7,Ontario,83.4,2011
2018-2019,Varicella,7,Ottawa Public Health,83.3,2011
2018-2019,Varicella,7,Peel Public Health,84.4,2011
2018-2019,Varicella,7,Peterborough Public Health,92.0,2011
2018-2019,Varicella,7,Porcupine Health Unit,94.7,2011
2018-2019,Varicella,7,Public Health Sudbury & Districts,93.4,2011
2018-2019,Varicella,7,Region of Waterloo Public Health and Emergency Services,92.2,2011
2018-2019,Varicella,7,Region of Waterloo Public Health and Paramedic Services,92.2,2011
2018-2019,Varicella,7,Renfrew County and District Health Unit,95.4,2011
2018-2019,Varicella,7,Simcoe Muskoka District Health Unit,91.0,2011
2018-2019,Varicella,7,Southeast Public Health,94.3,2011
2018-2019,Varicella,7,Southwestern Public Health,88.5,2011
2018-2019,Varicella,7,Thunder Bay District Health Unit,82.8,2011
2018-2019,Varicella,7,Timiskaming Health Unit,86.5,2011
2018-2019,Varicella,7,Toronto Public Health,79.6,2011
2018-2019,Varicella,7,Wellington-Dufferin-Guelph Public Health,93.4,2011
2018-2019,Varicella,7,Windsor-Essex County Health Unit,62.9,2011
2018-2019,Varicella,7,York Region Public Health,82.3,2011
2019-2020,Diphtheria,7,Algoma Public Health,80.1,2012
2019-2020,Diphtheria,17,Algoma Public Health,71.8,2002
2019-2020,Diphtheria,7,Brant County Health Unit,85.3,2012
2019-2020,Diphtheria,17,Brant County Health Unit,80.3,2002
2019-2020,Diphtheria,7,Chatham-Kent Public Health,93.9,2012
2019-2020,Diphtheria,17,Chatham-Kent Public Health,80.5,2002
2019-2020,Diphtheria,7,City of Hamilton Public Health Services,90.5,2012
2019-2020,Diphtheria,17,City of Hamilton Public Health Services,73.5,2002
2019-2020,Diphtheria,7,Durham Region Health Department,92.7,2012
2019-2020,Diphtheria,17,Durham Region Health Department,85.4,2002
2019-2020,Diphtheria,7,Eastern Ontario Health Unit,89.8,2012
2019-2020,Diphtheria,17,Eastern Ontario Health Unit,86.3,2002
2019-2020,Diphtheria,7,Grand Erie Public Health,84.7,2012
2019-2020,Diphtheria,17,Grand Erie Public Health,78.7,2002
2019-2020,Diphtheria,7,Grey Bruce Health Unit,93.8,2012
2019-2020,Diphtheria,17,Grey Bruce Health Unit,80.0,2002
2019-2020,Diphtheria,7,Grey Bruce Public Health,93.8,2012
